GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
1007685,779,Granby SLF,MA,11 New Ludlow Road,Granby,Hampshire,01033,42.2214,-72.5459,Private,"Waste Management, Inc.",1960,2014,Closed,"6,437,059",2013,Yes,0.539,,849-3,Shutdown,"Project #1, Expansion #3",6/1/2008,12/31/2013,Electricity,Reciprocating Engine,,0.4,0.4,,0.0000,0.0000
1007685,779,Granby SLF,MA,11 New Ludlow Road,Granby,Hampshire,01033,42.2214,-72.5459,Private,"Waste Management, Inc.",1960,2014,Closed,"6,437,059",2013,Yes,0.539,,849-4,Operational,"Project #1, De-Expansion #1",1/1/2014,,Electricity,Reciprocating Engine,,1.67,3.2,,0.0755,0.0087
,802,Greenwood Street LF,MA,30 Nippnapp Trail,Worcester,Worcester,01607,42.218739,-71.789885,Public,"City of Worcester, Department of Public Works",1973,1986,Closed,"2,000,000",,Yes,0.5,,872-0,Low Potential,,,,Unknown,Unknown,,,,,,
1007550,797,Halifax LF,MA,27 Laurel Street,Halifax,Plymouth,02338,41.9918,-70.8992,Private,"Republic Services, Inc.",1977,1992,Closed,"3,080,527",1992,Yes,0.216,0.216,867-0,Shutdown,Project #1,4/1/1997,6/30/2010,Electricity,Reciprocating Engine,,2,,1.2,,
1005379,20897,Hardwick Landfill,MA,1270 Patrill Hollow Road,Hardwick,Hampshire,01037,42.335,-72.2372,Private,"Casella Waste Systems, Inc.",1970,2007,Closed,"808,307",2007,Yes,0.1,0.1,201114-0,Low Potential,,,,Unknown,Unknown,,,,,,
1005213,10660,Haverhill Landfill,MA,100 Recovery Way,Haverhill,Essex,01835,42.76464,-71.12504,Private,Covanta Energy,1982,2021,Open,"7,788,394",2019,Yes,0.72,,180922-0,Operational,Project #1,1/1/2008,,Electricity,Reciprocating Engine,,1.6,1.6,,0.0723,0.0084
,21199,Hull Landfill,MA,Logan Avenue,Hull,Plymouth,02045,42.261836,-70.857348,Public,"Town of Hull, MA",1969,2018,Closed,,,Unknown,,,201430-0,Low Potential,,,,Unknown,Unknown,,,,,,
,798,Leicester LF,MA,151 Mannville Street,Leicester,Worcester,01524,42.26,-71.898,Public,"Town of Leicester, MA",1972,1991,Closed,,,No,,,868-0,Low Potential,,,,Unknown,Unknown,,,,,,
,801,Lowell LF,MA,1290 Westford Street,Lowell,Middlesex,01851,42.627,-71.3535,Public,"City of Lowell, MA",1947,1992,Closed,"1,335,800",,Yes,0.2,,871-0,Shutdown,Project #1,1/1/1997,12/31/2002,Electricity,Reciprocating Engine,,1.6,1.6,0.4,,
,801,Lowell LF,MA,1290 Westford Street,Lowell,Middlesex,01851,42.627,-71.3535,Public,"City of Lowell, MA",1947,1992,Closed,"1,335,800",,Yes,0.2,,871-1,Shutdown,"Project #1, De-Expansion #1",1/1/2003,12/31/2013,Electricity,Reciprocating Engine,,0.8,0.8,0.2,,
